SL NO.,COIN LOCATION,COUNTRY,MINT YEAR,VALUE / NOMENCLATURE,DESCRIPTION,METAL,VALUE AS ON 2025,
1,A-1 a,Spain,1925,25  Centimos,Ship Caravel on waves  Caraba,CU - Ni,7$
2,A-1 b,France,1920,20  Centimes,,Billon ( silver copper ),1$
3,A-1 c,Malaya,1940,1 Cent,King George VI,Bronze,15$
4,A-1 d,Spain,1878,5 centimos,King Alfonso XII / Spain Coat of Arms,Bronze,20$
5,A-1 e,Iran,1926,100 Dinar,Reza Shah Pahalavi,CU - Ni,10$
6,A-1 f,Iran,1926,50 Dinar,Reza Shah Pahalavi,CU - Ni,5$
7,A-2 a,Australia,1950,3 Pence,King George VI / 3 bound wheat stalks,Silver 50%,40$
8,A-2 b,Switzerland,1920,1 Swiss Franc,Standing Helvetia,Silver 85% + Cu,9$
9,A-2 c,Switzerland,1949,1 swiss rappen,Swiss cross / wheat spike,Bronze,6$
10,A-2 d,Switzerland,1921,5 Swiss Rappen,Head of Libertas,CU - Ni,2$
11,A-2 e,Germany,1950,10 Pfenning,Oak seedling,Brass clad steel,80$
12,A-2 f,Germany,1924,1 Pfenning,Wheat sheaf between date,Copper,25$
13,A-3 a,Germany,1906,1 Pfenning,German eagle with shield,Copper,35$
14,A-3 b,Germany,1949,10 pfenning,An oak seedling,Brass clad steel,70$
15,A-3 c,Germany,1925,5 Reichspfenning,Wheat ears drawing Pyramid,Aluminium Bronze,55$
16,A-3 d,Germany,1924,50 Reichspfenning,Imperial Eagle & Oak leaves,Nickel,25$
17,A-3 e,Mombasa,1888,1 pice,pair of scales  British East India,Bronze,350$
18,A-3 f,Mombasa,1888,1 pice,pair of scales  British East India,Bronze,350$,duplicate  old
19,A-4 a,South Africa,1941,1/2  Penny,King George VI / Sailing ships,Bronze,5$
20,A-4 b,Mauritius,1945,5 Cents,King George VI,Bronze,10$
21,A-4 c,Mauritius,1924,5 Cents,King George V,Bronze,23$
22,A-4 d,Uganda,1913,1 Cent,Crown and central hole in coin George V,CU - Ni,30$
23,A-4 e,Uganda,1914,5 Cent,Crown and central hole in coin George V,CU - Ni,30$
24,A-4 f,Uganda,1909,1/2  Cent,Crown and central hole in coin Edward VII,CU - Ni,50$
25,A-5 a,Palestine,1939,1 Mil,"olive branch / Palestine in English Arabic & Hebrew",Bronze,10$
26,A-5 b,Palestine,1940,10 Mil,"Central hole with olivewreath / Palestine in Eng Ar & Hebrew",CU - Ni,5$
27,A-5 c,Phillipines,1960,5 Centavos,Seated man with hammer & Anvil / coat of arms,Brass ,2$
28,A-5 d,Palestine,1927,2 Mil,"olive branch / Palestine in English Arabic & Hebrew",Bronze,125$
29,A-5 e,Palestine,1927,2 Mil,"olive branch / Palestine in English Arabic & Hebrew",Bronze,125$,duplicate  
30,A-5 f,Poland,1939,1 Grosz,Crowned Eagle with open wings,Bronze,7$
31,A-6 a,USA,1951,1 cent,Lincoln Wheat ears reverse,Bronze,2$
32,A-6 b,USA,1951,1 Cent,Lincoln Wheat ears reverse,Bronze,2$, duplicate
33,A-6 c,USA,1929,1 Dime,Mercury Dime    portrait of liberty wearing winged cap,Silver,5$
34,A-6 d,Malaysia,1927,1 Cent,Sarawak  bust of Rajah C V Brooke,Bronze,10$
35,A-6 e,Malaysia,1890,1 Cent,Sarawak  Charles  Brooke  face,Bronze,20$
36,A-6 f,Malaysia,1927,1 Cent,Sarawak  bust of Rajah C V Brooke,Bronze,10$, duplicate
37,A-7 a,Malaysia,1896,1 Cent,Sarawak  Charles  Brooke  face,Bronze,20$,Duplicate
38,A-7 b,India,,,Mughal time coin,,$
39,A-7 c,India,,,Mughal time coin,,$
40,A-7 d,Muscat & Oman,1898,1/4 Anna,Faisal ,Copper,12$
41,A-7 e,Iran,1970,50 dinar,Persin lion holding sword Mohammad Reza Pahalwi,Aluminium Bronze,5$
42,A-7 f,German East Africa,1891,1 pesa,Wilhelm II  German eaglewith crown,Copper,20$
43,A-8 a ,Cuba,1946,1 Cenavos,Cuban coat of Arms /   5 pointed star,CU - Ni,5$
44,A-8 b,France,1939,25 Centimes,Phrygian  cap  /  branch of olive tree  tound with hole,nickel silver,2$
